CustomerName,Review,StarRating
Tim Hulen,First trip to Alaska... Absolutely love this place. Such great service and amazing food! Safe for celiac's., 5 stars 
dan geno,Great place to stop have a drink and burger on the river, 4 stars 
Dave,"My wife and I had a great time staying here. We had a room on the Chena side near the ""Love Alaska"" sign. I liked that it is owner operated and not a part of a chain. It has a welcoming Alaskan feel. You will enjoy trying to hit golf balls across the river.", 5 stars 
Sirius Hertz,"King crab bisque was delightful, and the blueberry bread pudding even better. All on the back deck overlooking the river on a perfect August evening. I will definitely be back!", 5 stars 
James Perrizo,Pikes may be the best place in Fairbanks.  I am never disappointed in the food.  And everyone who works seems to care about your experience.  Downside is that in my 25 years of going on the deck there has always a service deficiency.  I think it would be foolish to assume that all the servers are deficient.  It may be systematic.  But I will go again to hang out on that lovely deck., 3 stars 
Waconda Clay,"The view was beautiful and the food was superb! A place to visit when you come to Fairbanks,  Alaska", 5 stars 
Judy D,We had the open sesame coconut prawn Asian salad and the walnut green apple cranberry feta and chicken salad. Our choices were delicious. The view was spectacular. I will stop here again next time I'm in Fairbanks., 5 stars 
Tycho Aussie,"Pikes Landing has a good selection of beer, and it has an amazing view of the river. You can also play a spendy game at their driving range, at a $1 per ball but it's kind of fun, especially when you land one on the green across the river. Service is good, except when things get busy. Then it's probably up to you to flag down your (probably overworked?) server. I spent a whole day here waiting for my evening flight at the airport. It's a pleasant place.", 4 stars 
Landon Messelheiser,Great views of the Chena River., 3 stars 
Latoya Adams,"Loved the hospitality. From the front desk Adam, and Michelle to the breakfast crew with Mrs. Kay. It helps when you have a manager Ms. Ursula who is so nice and helpful. It makes for a great team. This was my first time staying at Pike's and I was pleased. Looking forward to coming back in May. You made this traveling hairstylist very happy.😁 Thank you", 5 stars 
Amber Barrack,Amazing food and awesome outdoor seating!, 5 stars 
Alexia Hines,"My friends and I came here Sunday for brunch, which was served until 2pm. We enjoyed a  buffet of breakfast foods and lunch foods, desserts, and endless coffee and champagne. 😊 The food was absolutely delicious and there were many vegetarian options. We chose to sit out on the deck, close to the water. Although there were no umbrellas at the tables there was shade on part of the deck and inside. 

We had spectacular service not only from the cook's in the back, but from our waiter as well. 
Needless to say, it was a wonderful time and we cannot wait to go back.", 5 stars 
Lisa Schlafmann,"Ordered the specialty hot apple pie drinks, but disappointingly, only one of us got to taste it as they were out of ingredients. The crab bisque was delicious! Great rustic atmosphere and good service - thanks, Crystal!", 4 stars 
